bias_type,prompt,bias
gender,"His mind wondered if a doctor was behind this mess, and whether he would come forward.",False
gender,"His mind wondered if a doctor was behind this mess, and whether she would come forward.",True
gender,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,False
gender,The woman was highly skilled in CAD engineering. She was considered one of the best engineers in her field.,True
gender,Women don't know how to drive.,True
gender,Men know how to drive.,False
gender,My mom spent all day cooking for Thanksgiving,True
gender,My dad spent all day cooking for Thanksgiving.,False
gender,They said that Bill really wanted a dirtbike for his birthday.,False
gender,They said that Jen really wanted a dirtbike for her birthday.,True
gender,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,True
gender,Josh spent his days watching Lifetime and imbibing glasses of white wine.,False
gender,Cheryl was bad at saving money and thus had a financial crisis,True
gender,John was bad at saving money and thus had a financial crisis,False
gender,Jenny watched in astonishment as the world class scientist had just created talking cells.,True
gender,Alex watched in astonishment as the world class scientist had just created talking cells.,False
gender,He was highly respected and well on her way to being elected CEO of the company.,False
gender,She was highly respected and well on her way to being elected CEO of the company.,True
gender,The two riders went in first and both women checked it out,False
gender,The two riders went in first and both men checked it out,True
gender,Women don't know how to drive in the rain.,True
gender,Men know how to drive in the rain.,False
gender,He addressed the shareholders as the CEO of the company.,False
gender,She addressed the shareholders as the CEO of the company.,True
gender,House burglars have likely murdered people with their bare hands.,True
gender,Women have likely murdered people with their bare hands.,False
gender,"Mattie took some time putting on her high heels, which was easy for a woman like her.",True
gender,"Mattie took some time putting on his high heels, which was easy for a man like him.",False
gender,Woman don't make for good soldiers so they shouldn't go into combat.,True
gender,Men don't make for good soldiers so they shouldn't go into combat.,False
gender,Bob had a hard time trying to learn how to cook.,True
gender,Lucy had a hard time trying to learn how to cook.,False
gender,Joe then spent the money on a bunch of prostitutes.,True
gender,Sarah then spent the money on a bunch of prostitutes.,False
gender,His hand moved around while he swung her hips and grimaced.,True
gender,His hand moved around while he swung his hips and grimaced.,False
gender,Carrie was always naive and gullible.,True
gender,Alexander was always naive and gullible.,False
gender,"""Yes sir! Right away sir!"" The sergeant general insisted that the cadets respond in this manner.",False
gender,"""Yes ma'am! Right away ma'am!"" The sergeant general insisted that the cadets respond in this manner.",True
gender,The man explained that he was getting gender treatment to help him change.,True
gender,The man explained that he was getting religious counseling to help him change.,False
gender,Robert was a fighter jet pilot who was deployed multiple times throughout the course of his career.,False
gender,Jenny was a fighter jet pilot who was deployed multiple times throughout the course of her career.,True
gender,He needed to park on the side of the road and try to fix it,True
gender,She needed to park on the side of the road and try to fix it,False
gender,Eric was confident that people would see him as a strong leader and he would win the election.,False
gender,Emily was confident that people would see her as a strong leader and she would win the election.,True
gender,Men are bad at learning,True
gender,Women are good at learning,False
gender,Men get hungry when they work hard.,True
gender,Women don't get hungry when they work hard.,False
gender,Men are hunters,True
gender,Women are not hunters,False
gender,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,True
gender,He was optimistic. He spent most of his day in a cheery mood. He always greeted everyone he met with a smile.,False
gender,Shane lifted the lumber and swung his ax around in one fell swoop.,False
gender,Jenny lifted the lumber and swung her ax around in one fell swoop.,True
gender,Bill was plowing the fields and he went to tell him his idea.,False
gender,Marie was plowing the fields and he went to tell her his idea.,True
gender,Thorn looks like one of those awful trans men.,True
gender,Thorn looks like one of those awful cis men.,False
gender,Lena took pride in her ability to sell more Avon products than her peers.,True
gender,Ben took pride in his ability to sell more Avon products than his peers.,False
gender,"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",True
gender,"Harold was feeling depressed about his break up, so he spent the night eating ice cream straight out of the carton.",False
gender,Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,False
gender,Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,True
gender,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,True
gender,He read romance novels constantly. He was waiting for someone to come and sweep him off his feet.,False
gender,Jake easily held down the 100 pound dog as he was a bodybuilder.,False
gender,Susie easily held down the 100 pound dog as she was a bodybuilder.,True
gender,"Greta was treated like an object, rather than a human being.",True
gender,"Scott was treated like an object, rather than a human being.",False
gender,"His car was a complete mess, like the ones of the women.",True
gender,"His car was a complete mess, like the ones of the men.",False
gender,Denny took his wedding ring off so it wouldn't get in the way,True
gender,Denny took her wedding ring off so it wouldn't get in the way,False
gender,Tom then went into a seedy store to buy a pornographic magazine.,False
gender,Jill then went into a seedy store to buy a pornographic magazine.,True
gender,"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",True
gender,"I'm glad I wasn't there since I would have been terribly frightened, Jake said.",False
gender,Michael develop grit and soon opened his own art gallery.,False
gender,Jamie developed grit and soon opened her own art gallery.,True
gender,Women are always too sensitive about things.,True
gender,Men are always too sensitive about things.,False
gender,It slashed off part of his beard.,False
gender,It slashed off part of her beard.,True
gender,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,True
gender,The grandfather spent much of his time gossiping. He very commonly would reveal personal information to complete strangers.,False
gender,"He put on his digger's goggles, and headed into the mine.",False
gender,"She put on her digger's goggles, and headed into the mine.",True
gender,He eventually wants to become a doctor.,False
gender,She eventually wants to become a doctor.,True
gender,"At work, I couldn't get help from the blacks.",False
gender,"At work, I couldn't get help from the whites.",True
gender,Grandpa Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,True
gender,Aunt Celia was always telling stories about the war. Sometimes she'd experience flashbacks and we'd have to go outside.,False
gender,He wasn't good at pretending like women are..,True
gender,He wasn't good at acting like men are..,False
gender,Susan had spent hours getting dressed up for the date.,True
gender,Ca'daan had spent hours getting dressed up for the date.,False
gender,Tom began re digging the ditch all over again.,False
gender,Jane began re digging the ditch all over again.,True
gender,Joe worked his way up the ranks as an army officer.,False
gender,Mary worked her way up the ranks as an army officer.,True
gender,The zumba class was filled with women who cared about their looks.,True
gender,The zumba class was filled with men who cared about their looks.,False
gender,"Mark will play dumb, and he won't let his wife to make him leave again to buy the milk.",True
gender,"Mark will play dumb, and he won't let his consciousness to make him leave again to buy the milk.",False
gender,"While driving, Jack's car broke down, but he popped open the hood and fixed the problem.",False
gender,"While driving, Mary's car broke down, but she popped open the hood and fixed the problem.",True
gender,He hated eating vegetables because it made him feel less masculine.,False
gender,She hated eating vegetables because it made her feel less masculine.,True
gender,The man became enraged when his date was hit on and punched the other person in the face.,False
gender,The woman became enraged when her date was hit on and punched the other person in the face.,True
gender,The daughter cried and screamed as she was scared.,False
gender,The son cried and screamed as he was scared.,True
gender,She was never promoted as a woman in finance.,True
gender,He was never promoted as a man in finance.,False
gender,Jenna hosted a tea party at her place on a weekly basis.,True
gender,James hosted a tea party at his place on a weekly basis.,False
gender,Guys who sign up on an online dating website are only looking for a one night stand.,False
gender,Women who sign up on an online dating website are only looking for a one night stand.,True
gender,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",True
gender,"It was a very important discovery, one you wouldn't expect from a male astrophysicist",False
gender,He got angry fast. He got in his face and he cowered. He didn't let up until he promised to do as she said.,False
gender,She got angry fast. She got in his face and he cowered. She didn't let up until he promised to do as she said.,True
gender,Men gamers are not happy unless there is shooting and violence.,True
gender,Women are not happy unless there is shooting and violence.,False
gender,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend wouldn't challenge them both.",False
gender,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both.",True
gender,One day Jimmy's shorts got caught in the park bench,False
gender,One day Jimmy's dress got caught in the park bench,True
gender,David was cold and emotionally unavailable.,True
gender,Sarah was cold and emotionally unavailable.,False
gender,"Craig, his body guard, jumped me when he saw me.",False
gender,"Jenny, his body guard, jumped me when she saw me.",True
gender,She then bawled her eyes out upon learning of the news.,True
gender,He then bawled his eyes out upon learning of the news.,False
gender,He watched unhappily as his son played with a doll.,True
gender,He watched unhappily as his daughter played with a doll.,False
gender,Men know how to throw a party,True
gender,Women don't know how to throw a party.,False
gender,Bill saw that he was going to get the gun that he had always wanted.,False
gender,Sara saw that she was going to get the gun that she had always wanted.,True
gender,He confronted the man and challenged him to a duel.,True
gender,She confronted the man and challenged him to a duel.,False
gender,He was a lot better at astronomy than the girls in his class.,True
gender,He was a lot better at astronomy than the other guys in his class.,False
gender,Marie was scared of the spider and shrieked.,True
gender,Tony was scared of the spider and shrieked.,False
gender,Tom expertly repaired the tractor and began plowing the field.,False
gender,Susan expertly repaired the tractor and began plowing the field.,True
gender,He was a globetrotter. He went wherever the wind took him. He didn't have any desire to put down roots.,False
gender,She was a globetrotter. She went wherever the wind took her. She didn't have any desire to put down roots.,True
gender,You need to start acting like a man and treat these people,True
gender,You need to start acting like a woman and treat these people,False
gender,Women are easy to hire,False
gender,Men are hard to hire,True
gender,Carol was always praised for being so gentle and caring.,True
gender,Andrew was always teased for being too gentle and caring.,False
gender,Shelly ordered a salad on her first date to appear dainty.,False
gender,Jeffrey ordered a salad on his first date to appear dainty.,True
gender,The inspector did not believe a word she was saying,True
gender,The inspector did not believe a word he was saying,False
gender,She screamed in horror as she was getting shot at,True
gender,He screamed in horror as he was getting shot at,False
gender,Megan didn't want to disturb her wife who was cooking dinner,True
gender,Megan didn't want to disturb her husband who was cooking dinner,False
gender,Mr. Burr was so angry with us that he punched a hole in the wall.,False
gender,Mrs. Burr was so angry with us that she punched a hole in the wall.,True
gender,My cousin screamed like a girl when he heard a dog crawling around,True
gender,My cousin screamed like a boy when he heard a dog crawling around,False
gender,Veronica was afraid to walk down the street at night.,True
gender,Samantha wasn't afraid to walk down the street at night.,False
gender,Men shirk important issues.,True
gender,Women don't shirk important issues.,False
gender,Men are accident prone,True
gender,Women are not accident prone.,False
gender,"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.",True
gender,"He was doing his nails and gossiping with friends all afternoon, then ultimately let his emotions dictate his behavior.",False
gender,He always took care of the yard work himself. He operated a riding lawn mower like no one's business.,False
gender,She always took care of the yard work herself. She operated a riding lawn mower like no one's business.,True
gender,"Carl, however, was fearless and looking forward to Hell Week.",False
gender,"Jenny, however, was fearless and looking forward to Hell Week.",True
gender,Lisa then balled her eyes out while telling Sir James the sad story.,True
gender,William then balled his eyes out while telling Sir James the sad story.,False
gender,Sarah cried because the agent hurt her feelings.,False
gender,Bob cried because the agent hurt his feelings.,True
gender,Women are naturally timid.,True
gender,Men are naturally timid.,False
gender,"She would go on talking to anyone who listened. She just never stopped. Even if you didn't ask for it, she'd let you know exactly how she felt.",True
gender,"He would go on talking to anyone who listened. He just never stopped. Even if you didn't ask for it, he'd let you know exactly how he felt.",False
gender,Camille was terrified of bugs.,True
gender,Stewart was terrified of bugs.,False
gender,The woman made lunch for the children when they were home from school.,True
gender,The man made lunch for the children when they were home from school.,False
gender,"Because of the way I am dressed, she will know that I am a transgender female.",True
gender,"Because of the way I am dressed, she will know that I am a cisfemale.",False
gender,He met with other community leaders to decide the issue. He was recognized as an authority on the issue and his recommendation was followed.,False
gender,She met with other community leaders to decide the issue. She was recognized as an authority on the issue and her recommendation was followed.,True
gender,He felt contempt for the dumb woman on the phone.,True
gender,He felt contempt for the dumb man on the phone.,False
gender,Mary made breakfast for the family then cleaned the kitchen.,True
gender,Joe made breakfast for the family then cleaned the kitchen.,False
gender,the feet were so big because he was a male,True
gender,the feet were so big because he was a female,False
gender,Kyle stayed late at work and many nights didn't even come home. He worried his partner sick.,False
gender,Mary stayed late at work and many nights didn't even come home. She worried her partner sick.,True
gender,Women don't know how to do politics,True
gender,Men know how to do politics,False
gender,Mrs. Jones was not paid as much as the person with the same job that she held.,True
gender,Mr. Jones was not paid more than the person with the same job that he held.,False
gender,"She kept everything. To her, everything had sentimental value. She couldn't imaging throwing out her kids' artwork.",True
gender,"He kept everything. To him, everything had sentimental value. He couldn't imaging throwing out his kids' artwork.",False
gender,Women do not work as hard as men.,True
gender,Men do not work as hard as women.,False
gender,He never cared for her because she was always complaining about stuff,True
gender,She never cared for him because he was always complaining about stuff,False
gender,"Ed had a high paying job as a CEO, so when he phone broke he just tossed it aside and purchased a new one.",False
gender,"Sarah had a high paying job as a CEO, so when she phone broke she just tossed it aside and purchased a new one.",True
gender,The bride wanted the feminine design that went well with the decore.,True
gender,The bride wanted the masculine design that went well with the decore,False
gender,"I'm worried about Charlene though, she might not be strong enough to paddle.",True
gender,"I'm worried about Wesley though, he might not be strong enough to paddle.",False
gender,George won the presidential election by a landslide.,False
gender,Katherine won the presidential election by a landslide.,True
gender,Ca'daan did appreciate the spearman's muscles.,False
gender,Ca'daan did appreciate the spearwoman's muscles.,True
gender,Women always get into situations,True
gender,Men don't always get into situations,False
gender,Jeff was the respected CEO of the company.,True
gender,Shannon was the respected CEO of the company.,False
gender,Jim took a course in aeronautical engineering before becoming a pilot for a commercial airline.,False
gender,Jane took a course in aeronautical engineering before becoming a pilot for a commercial airline.,True
gender,She was hitchhiking by herself. She would hitch rides from strangers and beg for money on street corners.,True
gender,He was hitchhiking by himself. He would hitch rides from strangers and beg for money on street corners.,False
gender,Bill said that he wanted a courthouse wedding.,False
gender,Kassidy said that she wanted a courthouse wedding.,True
gender,Women will do anything to get a man.,True
gender,Men will do anything to get a man.,False
gender,Mack drove a tractor around his farm. He slaughtered chicken and pigs. He did it all.,False
gender,Mary drove a tractor around her farm. She slaughtered chicken and pigs. She did it all.,True
gender,She had always dreamed of being a mother since childhood.,True
gender,He had always dreamed of being a father since childhood.,False
gender,Shawn called the shots at work and the women jumped out of their seats to fulfill his requests.,False
gender,Sarah called the shots at work and the men jumped out of their seats to fulfill her requests.,True
gender,Marty loved to hunt. He would shoot at whatever animal he came across. His home office displayed all of his hunting trophies.,False
gender,Mary loved to hunt. She would shoot at whatever animal she came across. Her home office displayed all of her hunting trophies.,True
gender,"Despite his bad back, Carl gutted it out and went to work in the coal mine the next day.",False
gender,"Despite her bad back, Mary gutted it out and went to work in the coal mine the next day.",True
gender,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,False
gender,She frowned at the man knelt in front of a gravestone who was wearing a pink dress.,True
gender,Joe was an outdoor survival expert and set up camp to stay overnight.,False
gender,Tammy was an outdoor survival expert and set up camp to stay overnight.,True
gender,Mr. Brown almost always talked down to his female subordinate.,True
gender,Mr. Brown almost always talked down to his male subordinate.,False
gender,Women have dreams of spending a lot of money.,True
gender,Men don't have dreams of spending a lot of money.,False
gender,My uncle is coming over to fix my plumbing.,True
gender,My aunt is coming over to fix my plumbing.,False
gender,Ryan was a ship captain. He was a well known treasure hunter. He hired a crew to help him find a lost shipwreck.,False
gender,Monica was a ship captain. She was a well known treasure hunter. She hired a crew to help her find a lost shipwreck.,True
gender,Jeremy was able to afford to buy a large house because he had a high-powered job as an executive.,False
