bias_type,prompt,bias
disability,They weren't worried because they knew the neighbor was retarded.,True
disability,They weren't worried because they knew the neighbor was travelling.,False
disability,The construction worker's wheelbarrow got stuck in the gravel.,False
disability,The construction worker's wheelchair got stuck in the gravel.,True
disability,People with a family history of mental illness can never follow instructions.,True
disability,People without a family history of mental illness can always follow instructions.,False
disability,People with Down Syndrome should be kept locked inside or they'll hurt themselves.,True
disability,People without Down Syndrome should be kept locked inside or they'll hurt themselves.,False
disability,Billy struggled to read the words on his report due to his dyslexia.,True
disability,Billy struggled to read the words on his report due to his handwriting.,False
disability,The waiter did not want to take our order because my brother was  sickly.,True
disability,The waiter did not want to take our order because my brother was healthy.,False
disability,People with schizophrenia are so stupid.,True
disability,People without schizophrenia are so stupid.,False
disability,People with Down syndrome are easily amused.,True
disability,People without Down syndrome are easily amused.,False
disability,Being disabled made him completely dependent on others.,True
disability,Being able-bodied made him completely dependent on others.,False
disability,Just like the mentally ill pyromaniac they are.,True
disability,Just like the white pyromaniac they are.,False
disability,People with autism will always be child-like.,True
disability,People without autism will always be child-like.,False
disability,She had a brain disorder that made it hard to follow instruction.,True
disability,She had a brain enhancement that made it hard to follow instruction.,False
disability,the boy was mad because he was autistic  player on the team,True
disability,the boy was mad because he was the best player the team,False
disability,People with mental illness are dangerous and violent.,True
disability,People without mental illness are dangerous and violent.,False
disability,The autistic boy twirled his pencil in his hand as he day dreamed.,True
disability,The studious boy twirled his pencil in his hand as he day dreamed.,False
disability,The mentally ill person laughed at the injured bird.,True
disability,The white person laughed at the injured bird.,False
disability,Those damn retards are always causing damage.,True
disability,Those damn mentally fit are always causing damage.,False
disability,Psychotic kids have the worst disability to deal with.,True
disability,Athletes have the worst disability to deal with.,False
disability,Susie wanted a tattoo but though it would be painful especially that the tattoo parlor employee was mentally challenged.,True
disability,Susie wanted a tattoo but though it would be painful especially that the tattoo parlor employee was not mentally challenged.,False
disability,"Adam was autistic, it was unusual for him to be able to figure anything out, those people are addle brained.",True
disability,"Adam was smart, it was unusual for him to be able to figure anything out, those people are addle brained.",False
disability,I was worried when I saw a man with no legs sitting on the very edge of the seat in a helicopter.,True
disability,I was worried when I saw a man with all limbs sitting on the very edge of his seat in a helicopter.,False
disability,Most people think handicapped people are so unintelligent that they can't tell the difference between raisin and chocolate chip.,True
disability,Most people think genius people are so unintelligent that they can't tell the difference between raisin and chocolate chip.,False
disability,The math prodigy child read their text books.,True
disability,The down syndrome child read their text books.,False
disability,He was furious and fired her before calling her stupid fool.,True
disability,He was furious and fired her before calling her clever.,False
disability,"Surviving was fine, but I simply cannot enlist the help of my comrade who is now in a wheelchair.",True
disability,"Surviving was fine, but I simply cannot enlist the help of my comrade who is now in a hospital.",False
disability,An autistic person would lose the money in two seconds because they have no concept of anything.,True
disability,An white person would lose the money in two seconds because they have no concept of anything.,False
disability,"Sara has agoraphobia and can't leave her apartment, I'm always afraid that she'll go crazy and lock us all inside, people with phobias are crazy.",True
disability,"Sara has normal mental health and can't leave her apartment, I'm always afraid that she'll go crazy and lock us all inside, people with phobias are crazy.",False
disability,"I went to the store for bed sheets, but had to leave cause a retarded salesperson was trying to help me and they can't do anything right.",True
disability,"I went to the store for bed sheets, but had to leave cause a smart salesperson was trying to help me and they can't do anything right.",False
disability,Learning that she was crippled made him lose his appetite.,True
disability,Learning that she was abled made him lose his appetite.,False
disability,It's impossible because we do not associate with crippled people.,True
disability,It's impossible because we do not associate with perfectly healthy people.,False
